word	cid	keyword	cluster
American	37	American-made	American-made
American	55	Russian	Russian
American	112	Foreign	Foreign
American	134	Iraqi	Iraqi
Arafat	54	Arafats	Balawi, Saddaam, Arafats, al-Mabhouh, Osama, Bin-Laden, binLaden, Rantissi, Al-Mabhouh, Zawahiri, Zarqawi, yasser, Al-Sadr, Al-Hindi, Quntar, Qawasmeh, Al-Kurdi, Al-Zarqawi, Mugniyeh, Hussein, Mabhouh, arch-terrorist, al-Zarqawi, Mughniyah, Haniya, Shlaim, Sinwar, Marzuk, Al-Zawahiri, Saddam, bin-Laden, Masalha
Arafat	52	PLO	P.L.O., intifadah, Palestinians, Ramallah, Palestianian, Palestians, post-Oslo, Israelis, land-for-peace, Palestinian, PLO, Israel.Hamas
Arafat	4	Olmert	Natanyahu, Olmert, Rabin, then-Israeli, Netayahu, Netanyahu, Netanhayu, Peres, Weisglass, Netenyahu
Arafat	78	mini-Hariri	mini-Hariri, Khomeini, Ahmedinajad, Nasrallah, Gemayyel, Achmadinejad, Ahmadinijad, Khameni
Arafat	43	Abbas	Yasser, Suha, Yassir, Yasir, Abbas, Mahmoud
Arafat	85	Younis	Misbah, Hafeez, Afridi, Inzamam, Tamim, Younis
Arafat	18	Zardari	Zardari, Bhutto, Musharrif, Musharraf, Benazir
Arafat	53	al-Hasan	Khawajah, Abu-, al-Hasan, Sheikh
Arafat	60	Qadhafi	Qadhafi, Qaddafi
Arafat	1	Chirac	Chirac
Arafat	3	Al-Hasan	Al-Hasan
Arafat	16	Mubarak	Mubarak
Arafat	22	Muzdalifah	Muzdalifah
Arafat	31	Mbeki	Mbeki
Arafat	84	Milosevic	Milosevic
Brazil	25	Brazilian	Itaborai, Ituiutaba, Brazil.This, Brasil, Atibaia, Brazil.I, Araxá, Parana, Brazilians, Cuiabá, Camacari, brazilian, Uberaba, Recôncavo, Uberlandia, Jacareí, Goiana, Divinopolis, Rondônia, Uberlândia, Paulista, Brazilin, Paraiba, Goiania, Brazils, Paraíba, Taubate, Sao, Maranhão, Brazilan, Capanema, Ourinhos, Andradina, Vitória, Brazilain, São, Guaíba, Piracicaba, Cotia, Pirassununga, Brazillian, Amazônia, Cuiaba, Pará, Niteroi, Piaui, Vinhedo, Pindamonhangaba, Brasilien, Maricá, Jacarei, Brazil-based, Brasilians, Florianopolis, Ceará, Paulinia, Brazil.The, BrazilMore, Maceio, Sergipe, Florianópolis, Goiânia, Tatuí, Ipatinga, brazilians, Maringá, Brésil, favellas, Brazil.In, Sabará, BrazilBrazil, Brazilian, Macapá, Paulínia, Uruguai, Itatiba, Marabá, Goias, Piauí, Cubatão, Alagoas, Indaiatuba, Catanduva, Pernambuco, Guarujá, BrazilThe, Mauá, Cataguases, Uruguaiana, Brazil.He, Sobradinho, Aracatuba, Amazonas, Manaus, Belém, brasil, Rondonia, Guaratingueta, Aracaju, Estadao, Maceió, Brazillians, Caruaru, Paranaguá, non-Brazilian, Itapira, Pantanal, Guaruja, Brazil.As, Votorantim, Brazilia, Recife, S.Paulo, Floripa, Jundiaí, Seleção, Brazi, Mossoró, Gerais, Itupeva, Bolívia, Goiás, Jaguaribe, Amapá, Brasileiro
Brazil	91	Argentina	Ecuador, Peru, Venezuela, Paraguay, Uruguay, Colombia, Bolivia, Argentina, Argetina, Agentina
Brazil	105	Portugal	Rousseff, Rouseff, Oliveira, Portugal, Cardoso, Góes, Queiroz, Joao, Luiz
Brazil	142	MANAUS	BRASILIA, BRASIL, MANAUS, CURITIBA, BRASÍLIA
Brazil	86	Mozambique	Mozambique, Angola
Brazil	59	47834	47834
CD	67	CDs	Audio-CD, CDs-, 6-cd, CDYou, pre-mastering, MP3-CDs, CD-R, CD.For, cd-player, CD.And, c.d, CD-player, CD.It, cds, audio-cd, DVD-A, cd.I, CD.So, c.d., CD.If, pre-mastered, cd-rs, CD.3., CDRWs, cassette, MP3-CD, CD.-, CDs, CDs.I, cds., DVD-V, CDThe, CD.The, audio-CD, mP3, C.D.s, CD.This, cassettes, SACD, Cds, premastering, CDR, CD.I, mix-CD, C.D, AudioCDs, DVD-As, CD-Player, CD-Rs, CDrs, non-CD, cd-r, multichanger
CD	88	disc	DVDr, Cd-Rom, DVD-Recorder, CD-Rom, covermount, cd-rom, Artylicious, CD-rom, -ROM, DvD, DVD-, dvd, CDRom, DVDs, DVDrom, DVD-rom, DVD, CD-ROM, DVD-burner, CDRW, CDrom, CD-drive, CDROM, CD-G, CD-ROMs, discs, DVD-Rom, Disc, CD-Drive, CD-DVD, DVD-r, DVD-CD, CD-Roms, TSSTcorp, disc, CDDVD, Mini-DVD, DVd, -DVD
CD	156	CDCD	album, linernotes, 2xCD, mini-cd, DigiPac, 2-song, DIGIPACK, Digipack, digisleeve, Cassette, SLIPCASE, CD-r, DIGIPAK, Digipak, CDCD, allbum, jewelcase, Maxi-Single, Mini-LP, digi-pack, digi-pak, Jewelcase, mini-CD, CASSETTES, Mini-CD, CDr, CASSETTE
CD	18	LP	2-cd, 2-LP, Gramavision, Blu-Spec, Rev-Ola, multi-CD, double-live, 1-CD, LP, 8-CD, CDThis, 4-LP, 2-CD, 5-CD, 2CDs, 3xCD, 6-CD, 3-LP, single-CD, 10CD, 3CDs, Unidisc, pre-CD, 4CDs
CD	15	www.cdbaby.com	Cdbaby, MP3, www.cdbaby.com, MP3'S, CDBABY, CDbaby
CD	112	7-song	13-song, 10-song, 12-song, 7-song, 6-song
CD	11	Far-UV	Far-UV
CD	109	дисков	дисков
FBI	5	DOJ	detailee, IAFIS, feds, CJIS, IRS, DEA, CCIPS, USPIS, DOJs, EOUSA, IRS-CI, DIOG, DOJ, FTTTF, FEDS, A.T.F., BATFE, Gunwalking, USSS, InfraGard, USAO, ViCAP, ATF, ICITAP, DHS, FDLE, ODNI, RCFL, FINCEN, PATCON, ATFE, WIFLE, OSBI, FOIA, OCDETF, Feebs, Feds, FLEOA, DoJ, FinCEN, WhoWhatWhy, OIG, NZSIS, D.E.A., FOIPA, D.O.J., Muckrock, BATF, USDOJ
FBI	109	watchlisting	WITSEC, NatSec, NKGB, Law-enforcement, terrorist-fighting, counterterror, counterespionage, Counterterrorism, Ex-KGB, Counter-terrorism, Shin-Bet, Terrorist, counter-terrorism, Strassmeir, Counterterror, counter-intelligence, counterterrorism, terrorist, CISPES, Cointelpro, Counter-intelligence, AFOSI, Al-Mihdhar, Counter-Espionage, Der-Yeghiayan, KGB, COINTELPRO, Rezidentura, Yastremskiy, bureau, Counterintelligence, Silvermaster, Amerithrax, watchlisting, MI5, FBI-led, JTTF, Counterterrorist, Counter-Intelligence, Mossad, counterintelligence, anti-terrorism, Cointel
FBI	78	F.B.I.	F.B.I., NSA.The, C.I.A, C.I.A., N.S.A, FBI.The, FBIs, Ex-NSA, COUNTERTERRORISM, NSA, CIAThe, theCIA, cyberspy, CIA., then-CIA, CIA.The, FBI-agent, ex-CIA, CIA-Mafia, ex-NSA, ex-FBI, LEAKER, CIA, WhistleBlower, f.b.i., Ex-CIA, F.B.I, G-men, said.FBI, Ex-FBI
FBI	55	FBI.gov	nsa.gov, vault.fbi.gov, UNSUB, www.ic3.gov, be-on-the-lookout, FBI.gov, VICAP, fbi.gov, US-CERT, www.fbi.gov, ricin-laced, Infragard
FBI	104	ex-NYPD	NYPD, ex-NYPD, Ex-LAPD, LAPD, L.A.P.D, ex-LAPD, Robbery-Homicide, PreCrime, SLCPD
FBI	62	Comey	EmailGate, COMEY, diGenova, Emailgate, Trump-Russian, Comeys, Comey, non-investigation, Benghazi-Gate
FBI	9	wiretaps	wiretapping, Wiretaps, wiretaps, informants, wiretap, sneak-and-peek
FBI	85	prosecutors	detectives, investigator, police, investigators, prosecutors, investigation
FBI	112	Verfassungsschutz	BfV, Europol, Verfassungsschutz, Bundeskriminalamt, EUROPOL, Interpol
FBI	76	Spirikaitis	Spirikaitis, Eimiller, Fedarcyk, Evanina
FBI	66	SPLC	SPLC, Hamas-CAIR, ACLU, CAIR
FBI	13	Police	Investigation, Police, Detectives
FBI	46	GhostSec	GhostSec, AntiSec
FBI	151	NCIS	N.C.I.S., NCIS
FBI	143	DigitalOne	DigitalOne
Freud	26	Frued	Oedipus, transferential, Bleuler, Laplanche, psychotherapy, Freuds, psychodynamics, intra-psychic, Psychodynamic, Levy-Bruhl, Guntrip, psychologism, psychoanalysing, Jungians, Ehrenzweig, Jung, Roazen, parapraxis, Eliade, analysand, PSYCHOANALYSIS, Bernays, Maslow, psychogenesis, Psychoanalysis, Sigmond, Münsterberg, Bettelheim, Machtan, Roudinesco, Szondi, psychiatry, oedipal, Young-Bruehl, countertransference, psychodynamic, Psychoanalyst, Charcot, Fliess, Lacanian, Bettleheim, Krafft-Ebing, sexologists, psychobiography, Psycho-Analysis, Psychoanalyse, Freudianism, psychopathologies, Psychosexual, Stekel, psychoanalytically, psychologists, Spielrein, Vygotsky, Psychopathology, Kraepelin, psychopathology, Assagioli, phantasies, psychopathological, Oedipal, Westermarck, psychoanalyses, ego-ideal, psychoanalyst, psycho-pathological, Neuropsychoanalysis, Frued, neurosis, Lévy-Bruhl, psycho-analyst, freudian, psycho-dynamic, Kleinian, Psychoanalysts, metapsychology, sexology, Łobaczewski, lacan, Fingarette, Appignanesi, superego, Wundt, psychotherapists, neo-Freudian, sigmund, Lévi-Strauss, Psychoanalytic, Ferenczi, intrapsychic, psychoanalytic, Kernberg, Freudian, Psychoanal, object-relations, psychosexual, psychoanalysis, psychogenetic, erotomaniac, Jungian, Tausk, Winnicott, analysands, psychoanalyzed, Adler, Munsterberg, introjection, psychoanalysts, Koffka, Sigmund, Durkheim, counter-transference, C.G.Jung, psycho-sexual, NYPSI
Freud	54	Nietzsche	Adorno, Schopenhauer, Dostoyevsky, Buber, Flaubert, Proust, Nietsche, Husserl, Kant, Hegel, Dostoevsky, Nietzsche, Horkheimer, Marcuse, Nietzshe, Koestler, Cassirer, Rée, Wittgenstein, Spinoza, Heidegger, Gebser, Stirner, Nietzche, Marx, Neitzsche, Korzybski, Vaihinger, Bergson, Nietzsches, Sartre, Grünbaum, Heidigger, Kierkegaard, Nietszche, Gurdjieff
Freud	160	Lacan	Schizoanalysis, Artaud, Derrida, Zizek, Copjec, Kristeva, Deleuze, Žižek, Écrits, Althusser, schizoanalysis, Klossowski, Sinthome, Anti-Oedipus, Koestenbaum, Canguilhem, Lacan
Freud	67	Picasso	surrealists, Dalí, Picasso, Surrealists, Surrealism
Freud	150	Sacher-Masoch	Sacher-Masoch, Kokoschka, Hofmannsthal, Masoch, Döblin
Freud	25	Rabbeting	Rabbeting, Quadra-Cut
Freud	78	Nijinsky	Nijinsky
Harvard	91	Yale	Bacow, Cambride, Yale, UMASS, Fordham, Berklee, Harvard.The, Harvard-MIT, University-trained, Sitkoff, UChi, Tufts, Amherst, UniversityHarvard, Rutgers, Harvard-affiliated, Harvar, Cal-Berkeley, Charlesview, Cambridge-, UVM, UMinn, MIT-, Unversity, Wellesly, DePaul, M.I.T, Cambrige, Questbridge, NYUs, Darthmouth, Swathmore, RISD, Wesleyan, Drexel, Mid-Cambridge, UofC, Undergrad, UMass-Lowell, Boston.Boston, Tulane, Swarthmore, Cantabrigians, U-Mass, Upenn, Countway, Massachusetts-Boston, Stanford.The, B.U., Northwestern, Allston, GWU, HSPH, Unviersity, UMass-Boston, California-Berkeley, Wellesley, UNH, BU, CS50, UC-Berkeley, Hofstra, U.C.L.A., Harvard-based, Boston-Cambridge, undergrads, Cambridge, Emory, Masschusetts, UPitt, Vassar, Lowell, HGSE, Massaschusetts, UCLA, CollegeBoston, grad, Princton, Massachusetts, Boston, U-Penn, i-lab, Johns-Hopkins, Massachusetts-Amherst, Babson, MIT, Brookline, UniversityCenter, UMass, Petrie-Flom, M.I.T., Georgetown, Princeton., CalTech, N.Y.U., UC-Irvine, Berkeley, CambridgeUniversity, WashU, Rudenstine, UPENN, NYU-Stern, LawSchool, Berkelee, Darmouth, Weill-Cornell, Massachusetts-Lowell, CCNY, UChicago, Umass, Vanderbilt, UMass-Amherst, Stanford, Cal-Tech, UMass-Dartmouth, HarvardX, Juilliard, metaLAB, Standord, Standford, B-School, HBS, Univeristy, Cantabrigian, Massachussetts, University, Dartmouth, Oxford
Harvard	127	Harvards	Ivies, Hahvahd, Cantabs, HarvardKey, IvyGate, Yalies, Balliol, Oxbridge, Oxford-Cambridge, Harvard-educated, Harvard-Yale, Harvard-bound, Harvards, ivy-league, Yale-educated, HUPD, Yale-Harvard, Peterhouse, law-school, Yalie, Ivy-league, WHRB, harvard.edu, Whiffenpoofs, liberal-arts, non-Ivy, Ivy-League
Harvard	83	yale	stanford, cornell, dartmouth, yale
Harvard	68	Yenching	Tsinghua, Yenching
Harvard	103	YALE	TUFTS, YALE
Harvard	36	Amaker	Amaker
Harvard	42	02138	02138
Harvard	60	Havard	Havard
Israel	146	Isreal	Palestinain, Israeland, Israël, Israel.On, IsraHell, IsraelI, Palestinian-Israelis, non-Israelis, Netenyahu, Israel.When, pro-Israel, Ynetnews, Haaretz, Israel.Now, Israel.So, Palestinia, srael, Yisrael, Israel-friendly, Israe, israeli, Isarel, Israel.I, it.Israel, Zionism, Amelek, Israels, pro-Israelis, Ynet, Ben-gurion, Israel.If, Barak, Israel.The, IsraelIsrael, YNet, Yishai, Palastinians, Palestinan, Israel.For, Avnery, JPost, Israel.There, Israel--, Histadrut, Netanyah, Irael, Netayahu, IsraelNext, Knesset, Israelis, Palistinian, Likud, Isr, Israei, HaAretz, Israel.It, Netanyahu, JerusalemIsrael, Palestinian, Israel.Hamas, Isreali, Jersalem, Judea-Samaria, IsraelMay, Mossad, Israel-American, Israelies, Israel.And, Zionists, IsraelPosted, YNET, Israeli, Tehiya, Israel.He, Palestinians, Palestinean, Israel.A, Jerusalem-, Isreal, deligitimization, Gaza.Israel, Palestine, lsrael, IsraelAs, IsraelThe, Israel-Palestine, Israel.We, Hanegbi, Israel.In, Jerusalem.And, Ben-Gurion, IsraelIn, IsraelIsraeli, Palestenians, isreal, said.Netanyahu, Israel.These, AIPAC, non-Israeli, Aipac, Natanyahu, Israel.But, Israel.Israel, Israelity, Palestian, Palistinians, Zionist, IsraelBy, Akunis, delegitimizers, Ayalon, Israle, NewsIsrael, ofIsrael, Jews, Shavit, Israel.3., Jerusalem, Palestinains
Israel	52	Herzliya	Eliat, Negev, Ramat-Gan, Netanya, TelAviv, Rehovoth, Technion, Tel-aviv, Beersheva, Herzliya, TEL-AVIV, Yokneam, Telaviv, Aviv, Herzliyya, Nahariya, Ashqelon, Beersheba, Tel-Hai, Herzelia, Eilat, Herzilya, Kibbutz, Herzlia, Haifa, JNF-KKL, Nahariyya, Pituach, TA-25, Dimona, Herzeliya, Ashdod, Rehovot, Ashkelon, kibbutz
Israel	29	Taglit-Birthright	AMHSI, Taglit-Birthright, Shearith, Taglit
Israel	105	US-Israel	Israel-China, America-Israel, US-Israel, Israel-US
Jackson	110	Harrison	Warren, Henderson, McClain, Jaxn, Bailey, Walton, Brantley, Benton, Perkins, Meeks, Anderson, Davis, Kendall, Whitaker, Williamson, Richardson, Guyton, Lucas, Freeman, Hodges, Bryant, Buford, Willis, McKenzie, Taliferro, Lewis, Walker, Lamar, Lovell, Whitfield, Gipson, Robinson, Randolph, Braxton, Cunningham, Seymour, Odom, Vance, Bynum, Jennings, Taylor, Clayton, McBride, Harrison, Thompson, Herron, Rankin, Cooper, Marshall, Calhoun, Porter, Sanders, Patterson, Covington, Dawson, Monroe, Evans, Browne, Malone, Townsend, Hammond, McKinley, Haywood, Lanier, Curtis, Nelson, Smith, Brown, Frazier, Crump, Rowe, Dalton, Buchanan, Quinton, Harrell, Childress, Johnson, Griffin, Reed, Murray, Ruffin, Cheatham, Hinds, Williams, Turner, Payne, Emmett, Stephens, Jefferson, Livingston, Presley, Rawlins, Mckenzie, Griffith, Reeves, Brumfield, Pollock, Jamison, Butler, Edwards, Forrest, Hawkins, Howell, Tolliver, Terrell, Dickerson, Jones, Powell, Walters, Wade, Mitchell, Tatum, Prentiss, Watkins, Finley, Sumner, Wallace, Glover, Morris, Riley, Pickett, Morgan, Payton, Dontell, Stuckey, Franklin, Haynes, Boggs, Pittman, Montgomery, Rucker, Gaines, McClellan, Parker, Greenwood, Elmore
Jackson	116	Jackon	95642, JacksonThis, Jacksons, Jackson.In, ackson, Jackson.The, Walgren, Ruehlen, JacksonThe, Jackson.Jackson, Michael, Gongaware, Jacskon, Jacson, Jackson-esque, Beavin, JacksonJackson, JacksonI, Jackon, Raymone, said.Jackson, 08527, LaToya, Jack-son, Jackso, Latoya, Jacko, MacLow, Mesereau, Jackson.I, Jackson-like
Jackson	23	Mississippi	Byhalia, Southaven, Clarion-Ledger, Hazlehurst, Pontotoc, Vicksburg, Southhaven, Senatobia, Kosciusko, Tupelo, Flowood, Fondren, Ridgeland, McComb, Mccomb, Mississippi, Pelahatchie, Hattiesburg
Jackson	179	Sharpton	DeSean, Sharpton, Maclin
Jackson	49	Traevon	Dontavius, Traevon
Jaguar	54	Jaguars	X-TYPE, XK8, Jaguars, XE, xj6, XJ6, Jag, Land-Rover, XKE, XJ8, xkr, xk8, XJ8L, XJ40, E-TYPE, Jags, XKSS, x-type, Xk8, X-type, S-TYPE, xjr, e-type, X-Type, Aston-Martin, XJ220, Jaquar, XKR, xjs, XJ12, XJR, XK120
Jaguar	35	Panther	Cougar, Tiger, Saber-Toothed, Puma, Oncilla, Tiger-, Lion, Panther, Cheetah, Bobcat, Lynx, cheetah, Leopard, Lynxes, Jaguarundi, Onça
Jaguar	32	F-Pace	F-TYPE, C-XF, C-X16, Sportbrake, F-Pace, C-X75, I-PACE, C-X17, F-Type, F-PACE, XKR-S, XFR-S, I-Pace
Jaguar	8	Pyuu	Pyuu
Jaguar	25	XK6	XK6
Jaguar	30	Mercedes	Mercedes
Jaguar	37	Vauxhall	Vauxhall
Jaguar	41	Aztec	Aztec
Jaguar	51	Tambako	Tambako
Jaguar	63	Granadas	Granadas
Jaguar	66	Xk	Xk
Japanese	7	Japanese-language	Japanized, Japlish, Edo-period, yoshoku, Japanese-themed, all-Japanese, Japan-inspired, Osakan, gaijin, Japanese-developed, Japanese-Canadian, Nippon.com, 外人, Japan-centric, Nihonjinron, Japanese-like, Japan-related, Japanese-language, un-Japanese, Japanophiles, Japanese-sounding, Nihongo, Japan-focused, Japanese-style, J-Pop, gaijins, Japan-specific, Osaka-based, Japanese-looking, Kyoto-based, ukiyoe, Japanese-speaking, Japanese-English, Meiji-era, J-pop, made-in-Japan, Tokyoite, Japanese-based, Japan-based, Tokyo-based, Kokugo, non-Japan, half-Japanese, non-Japanese, yakuza, tea-ceremony, Japan-made, Japanese-ness, Japanese-run, Japanese-Language, Tofugu, Keisen, Japaneseness, Japanese-inspired, Non-Japanese, Edo-style, yen-denominated, Japanese-Brazilian, Japanese-only, Japanese-made, Nihonjin, Japanophile, Japanese-born, Tokyo-born
Japanese	23	Japenese	Japense, Japane, Japn, Japans, JapaneseThe, Japanease, Japs, jap, JapaneseJapanese, japonese, Japanese.The, japenese, Nipponese, Japanise, Japaneze, Japansese, Jap., Japaness, NewsJapanese, Japanes, JapanJapanese, Japaneses, anese, Japaneese, Japonese, theJapanese, Japanish, JapanJapan, Jap, Japanse, japanease, Japanesse, japaneese, Japanese.I, Japanase, non-japanese, .Japan, Japenese, japanesse, apanese, Japnese, korean, JAPAN, Jap-
Japanese	49	Japan	Sapporo, Japan, Fukuoka, Yomiuri, Nippon, Kanagawa, Yokohama, Okinawa, Kyushu, Asahi, Mainichi, Kansai, Shizuoka, Hokkaido, Sendai, Gifu, Osaka, Tokyo-area, Nagoya, Kagoshima, Chiba, Niigata, Musashino, Tokyo, Toyko, JapanThis, Tohoku, Nihon, Okinawan
Japanese	63	inJapan	Japan.After, inJapan, Japan.The, Japan.It, Japan.But, Japan--, Japan.With, Japan.I, Japanese.In, Japan.As, Tokyo.This, Japan.A, Japan.What
Japanese	60	Korean-Japanese	French-Japanese, Japanese-French, Chinese-Japanese, Japanese-German, Anglo-Japanese, Japanese-Chinese, Korean-Japanese, Franco-Japanese
Japanese	126	Chinese	Asian, Chinese, Korean, Taiwanese
Japanese	28	AMJapanese	AMJapanese
Japanese	51	Yamato	Yamato
Japanese	65	Nakajima	Nakajima
Japanese	96	American	American
Japanese	99	Mizuma	Mizuma
Japanese	141	Shinto	Shinto
Java	103	Sumatra	SwingWorker, LiveConnect, ByteCode, EasyEclipse, jdk6, JavaFX, HelloWorldApp, JavaEE, Bytecode, java.sun.com, JPython, jdk1.5, .NET, JBuilder, WebLogic, java.net, WebStart, IcedTea, GCJ, JavaThe, JAXP, JavaClass, Javas, Icedtea, Sumatra, JavaCard, Java-compatible, Applet, JavaBeans, EJB, JavaTM, Java-related, Java-specific, Javac, J2EE, j2me, netbeans, 6u10, JDK1.6, JDKs, Jvm, ClassPath, ObjectPascal, JVM-based, J2ee, RoseIndia, JavaObject, Jbuilder, JavaA, Servlets, Jave, ServiceLoader, gcj, Decompilers, JavaFx, JApplet, Netbeans, classfiles, Java-like, jdk, ActionScript3, JVMs, JSDK, JDBC, JavaOS, NetBean, midlets, J2SE, byte-codes, bytecode, j2se, JavaSoft, Weblogic, JUnit, Java2D, Java.I, all-Java, Java.The, java-like, sun.misc.Unsafe, Glassfish, J2ME, J2EE-based, OpenJDK, Java-style, EJB3.0, RMI-IIOP, NetBeans, Servlet, JDK1.5, JVM, non-J2EE, jvm, JavaME, JNI, non-java, JavaSE
Java	65	ObjectiveC	Obj-C, Objective-c, Objective-C, ObjectiveC
Java	19	Javanese	Cirebon, Javanese
Java	8	.NET.	.NET.
Java	9	.Net.	.Net.
Java	48	.Net	.Net
Java	61	JavaScript	JavaScript
Jerusalem	34	Israel	Agripas, Negev, toIsrael, Talpiot, Mamilla, Netanya, Zion, Rehovoth, Zefat, Beersheva, Mamila, Herzliya, Talbieh, Israel., Atarot, Malcha, Netanyah, Binyanei, Beit, HaCarmel, Telaviv, Nahalal, Aviv, Tzfat, Kedumim, Machaneh, Ashqelon, Beersheba, Yehudah, Ramle, Daliyat, Modiin, Jaffo, Arnona, Yavne, Yehud, lsrael, Tel-Hai, IsraelAs, Netanyahu, Hevron, Hanavi, Yaffo, Eilat, Shomron, Maccabim, Hashmonaim, Afula, Haifa, ISRAEL, Bat-Yam, Nahariyya, Nachlaot, Tel-Aviv, Latrun, Israel, Ashdod, Musrara, Judea-Samaria, Ashkelon, Efrat
Jerusalem	148	Judea	El-Bireh, Jabneh, Judaea, Ramallah, Al-Aqsa, Al-Aksa, Ophel, Antipatris, Herodium, Tzippori, Ceasarea, Avdat, Judea, Beth-Shean, Qedar, Nazareth, Lupolianski, Jerusalemite, Jerusalemites, Latroun, Kinnereth, Eleutheropolis, Sepphoris, Halhul, Judeans, Crusader-era, Caesarea, Judaean, Tiberias, Lydda, Bethlehem, Korazim, Judæans, Hebron, Samaria, Palestinian-controlled, Zippori, Yeshua, Masada, Shragai, Sahour, Jews, Tarshiha, Zababdeh, Galillee, Megiddo, Al-Bireh, Galilee, Natzeret, Judean, Sanhedrin, Jericho, Amman, Deheishe, Shechem, Jotapata, Caesaria, Silwan
Jerusalem	153	Jersualem	Israel.The, Jersusalem, Jerusalén, Hurva, Jerusalem.The, Jeruselum, rusalem, Ierusalem, Jerus, JerusalemIn, Akká, Jerusalem.This, Jeruslaem, Jeruselem, JerusalemThe, Yerusalem, JerusalemIsrael, ירושלים, Bethleem, BethlehemThe, Jerusa-, Hierusalem, Jeru-, Jerusalem.In, Jersualem, Yerushalayim, Jersalem, Jerusalems, Kotel, Jerusalen, HaKotel, Jérusalem, Jerusalam, Synagogue
Jerusalem	66	Palestine	Palestinians, Palestine, Israel-Palestine, Israeli, Palestine.The, Israelis, Palestinian, Gaza
Jerusalem	14	Alomone	Alomone
Jerusalem	67	synagogue	synagogue
Jerusalem	127	Temple	Temple
